# Perfil Lateral (Up to date)
# 831 data points written for 2 variables.
# Simulation warnings:
#   Implantação recuperação do dispositivo a alta velocidade (24,1 m/s)
#
# Coeficiente de arrasto (​),Coeficiente de arrasto de pressão (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.751,0.202
0.752,0.202
0.751,0.202
# Event LIFTOFF occurred at t=0.04 seconds
0.749,0.202
0.746,0.202
0.742,0.202
0.738,0.202
0.733,0.202
0.728,0.202
0.723,0.202
0.719,0.202
0.714,0.202
0.709,0.202
0.705,0.202
0.701,0.202
0.697,0.202
0.693,0.202
0.69,0.202
0.687,0.202
0.683,0.202
0.68,0.202
0.678,0.202
0.675,0.202
0.673,0.202
0.67,0.202
0.668,0.202
0.666,0.202
0.664,0.202
0.662,0.202
0.66,0.202
0.658,0.202
0.656,0.202
# Event LAUNCHROD occurred at t=0.33 seconds
0.654,0.202
0.652,0.202
0.649,0.202
0.647,0.202
0.645,0.203
0.643,0.203
0.641,0.203
0.64,0.203
0.638,0.203
0.636,0.203
0.635,0.203
0.633,0.203
0.631,0.204
0.628,0.204
0.625,0.204
0.624,0.205
0.623,0.205
0.623,0.205
0.622,0.205
0.622,0.205
0.621,0.205
0.621,0.205
0.62,0.205
0.62,0.206
0.62,0.206
0.619,0.206
0.619,0.206
0.619,0.206
0.618,0.206
0.618,0.206
0.618,0.206
0.617,0.207
0.616,0.207
0.616,0.208
0.616,0.208
0.615,0.208
0.615,0.208
0.615,0.208
0.615,0.208
0.615,0.209
0.615,0.209
0.615,0.209
0.615,0.209
0.615,0.209
0.615,0.21
0.615,0.21
0.615,0.211
0.615,0.211
0.615,0.211
0.615,0.212
0.615,0.212
0.615,0.212
0.615,0.212
0.616,0.213
0.616,0.213
0.616,0.213
0.617,0.214
0.617,0.215
0.617,0.215
0.618,0.215
0.618,0.215
0.618,0.216
0.619,0.216
0.619,0.216
0.62,0.217
0.621,0.218
0.621,0.218
0.622,0.219
0.622,0.219
0.623,0.219
0.624,0.22
0.625,0.221
0.626,0.222
0.627,0.222
0.628,0.223
0.629,0.224
0.631,0.225
0.632,0.226
0.633,0.226
0.635,0.227
0.637,0.229
0.638,0.229
# Event BURNOUT occurred at t=1.59 seconds
0.638,0.229
0.637,0.229
0.637,0.228
0.637,0.228
0.636,0.228
0.636,0.228
0.636,0.227
0.635,0.227
0.635,0.227
0.635,0.227
0.634,0.227
0.633,0.226
0.632,0.226
0.632,0.225
0.631,0.225
0.63,0.224
0.63,0.224
0.629,0.223
0.629,0.223
0.629,0.223
0.628,0.223
0.628,0.223
0.627,0.222
0.627,0.222
0.627,0.222
0.626,0.221
0.626,0.221
0.625,0.221
0.625,0.22
0.624,0.22
0.624,0.22
0.624,0.219
0.623,0.219
0.623,0.219
0.623,0.219
0.622,0.218
0.622,0.218
0.622,0.218
0.622,0.218
0.621,0.218
0.621,0.217
0.621,0.217
0.621,0.217
0.621,0.217
0.621,0.217
0.62,0.217
0.62,0.217
0.62,0.217
0.62,0.216
0.62,0.216
0.62,0.216
0.62,0.216
0.62,0.216
0.62,0.216
0.619,0.216
0.619,0.216
0.619,0.215
0.619,0.215
0.619,0.215
0.619,0.215
0.619,0.215
0.619,0.215
0.619,0.215
0.619,0.215
0.619,0.215
0.619,0.215
0.618,0.214
0.618,0.214
0.618,0.214
0.618,0.214
0.618,0.214
0.618,0.214
0.618,0.214
0.618,0.213
0.618,0.213
0.617,0.213
0.617,0.213
0.617,0.213
0.617,0.213
0.617,0.212
0.617,0.212
0.617,0.212
0.617,0.212
0.617,0.212
0.617,0.212
0.617,0.212
0.617,0.212
0.617,0.211
0.617,0.211
0.617,0.211
0.617,0.211
0.617,0.211
0.617,0.211
0.617,0.211
0.617,0.211
0.617,0.21
0.617,0.21
0.617,0.21
0.617,0.21
0.617,0.21
0.617,0.21
0.617,0.21
0.617,0.209
0.617,0.209
0.617,0.209
0.617,0.209
0.617,0.209
0.617,0.209
0.617,0.209
